ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
Chacon-2017-102-1,I,1209,I,eu
Chacon-2017-102-2,all,98,ALL,tudo
Chacon-2017-102-3,ash,646,ASH,cinza
Chacon-2017-102-4,bark,1204,BARK,casca
Chacon-2017-102-5,belly,1251,BELLY,barriga
Chacon-2017-102-6,big,1202,BIG,ser grande
Chacon-2017-102-7,bird,937,BIRD,pássaro
Chacon-2017-102-8,bite,1403,BITE,morder
Chacon-2017-102-9,black,163,BLACK,preto
Chacon-2017-102-10,blood,946,BLOOD,sangue
Chacon-2017-102-11,bone,1394,BONE,osso
Chacon-2017-102-12,breast_1,1402,BREAST,seio
Chacon-2017-102-13,breast_2,1402,BREAST,seio
Chacon-2017-102-14,burn_1,2102,BURN,Epps
Chacon-2017-102-15,burn_2,2102,BURN,queimar
Chacon-2017-102-16,claw,72,CLAW,unha
Chacon-2017-102-17,cloud,1489,CLOUD,nuvem
Chacon-2017-102-18,cold,1287,COLD,frio
Chacon-2017-102-19,come,1446,COME,vir
Chacon-2017-102-20,die,1494,DIE,morrer
Chacon-2017-102-21,dog,2009,DOG,cachorro
Chacon-2017-102-22,drink,1401,DRINK,beber
Chacon-2017-102-23,dry (N),1786,DRY UP,secar
Chacon-2017-102-24,ear,1247,EAR,orelha
Chacon-2017-102-25,earth,1228,EARTH (SOIL),chão
Chacon-2017-102-26,eat,1336,EAT,comer
Chacon-2017-102-27,egg,744,EGG,ovo
Chacon-2017-102-28,eye,1248,EYE,olho
Chacon-2017-102-29,feather,1201,FEATHER,pluma
Chacon-2017-102-30,fire,221,FIRE,fogo
Chacon-2017-102-31,fish (N),227,FISH,peixe
Chacon-2017-102-32,flesh,2259,FLESH,carne
Chacon-2017-102-33,fly (V),1441,FLY (MOVE THROUGH AIR),voar
Chacon-2017-102-34,foot,1301,FOOT,pé
Chacon-2017-102-35,full,1429,FULL,estar cheio
Chacon-2017-102-36,give,1447,GIVE,dar
Chacon-2017-102-37,good,1035,GOOD,bom
Chacon-2017-102-38,grease,323,FAT (ORGANIC SUBSTANCE),gordura
Chacon-2017-102-39,green,1425,GREEN,verde
Chacon-2017-102-40,hair,1040,HAIR,pelo
Chacon-2017-102-41,hand,1277,HAND,mão
Chacon-2017-102-42,head,1256,HEAD,cabeça
Chacon-2017-102-43,hear,1408,HEAR,escutar
Chacon-2017-102-44,heart,1223,HEART,coração
Chacon-2017-102-45,horn,1393,HORN (ANATOMY),chifre
Chacon-2017-102-46,hot,1286,HOT,quente
Chacon-2017-102-47,kill,1417,KILL,matar
Chacon-2017-102-48,knee,1371,KNEE,joelho
Chacon-2017-102-49,know,1410,KNOW (SOMETHING),saber
Chacon-2017-102-50,leaf,628,LEAF,folha
Chacon-2017-102-51,lie,215,LIE DOWN,deitar
Chacon-2017-102-52,liver,1224,LIVER,fígado
Chacon-2017-102-53,long,1203,LONG,comprido
Chacon-2017-102-54,louse,1392,LOUSE,piolho
Chacon-2017-102-55,man (adult male),1554,MAN,homem
Chacon-2017-102-56,many,1198,MANY,muito
Chacon-2017-102-57,moon,1313,MOON,lua
Chacon-2017-102-58,mountain,639,MOUNTAIN,montanha
Chacon-2017-102-59,mouth,674,MOUTH,boca
Chacon-2017-102-60,name,1405,NAME,nome
Chacon-2017-102-61,neck,1333,NECK,pescoço
Chacon-2017-102-62,new,1231,NEW,novo
Chacon-2017-102-63,night,1233,NIGHT,noite
Chacon-2017-102-64,nose,1221,NOSE,nariz
Chacon-2017-102-65,not,1240,NOT,não
Chacon-2017-102-66,one,1493,ONE,um
Chacon-2017-102-67,path,2252,PATH,caminho
Chacon-2017-102-68,person,683,PERSON,gente
Chacon-2017-102-69,rain,658,RAIN (PRECIPITATION),chuva
Chacon-2017-102-70,red,156,RED,vermelho
Chacon-2017-102-71,root,670,ROOT,raiz
Chacon-2017-102-72,round,1395,ROUND,redondo
Chacon-2017-102-73,sand,671,SAND,areia
Chacon-2017-102-74,say,1458,SAY,dizer
Chacon-2017-102-75,see,1409,SEE,ver
Chacon-2017-102-76,seed,714,SEED,semente
Chacon-2017-102-77,sit,1416,SIT,jáʔakahe
Chacon-2017-102-78,skin,763,SKIN,mutum
Chacon-2017-102-79,sleep,1585,SLEEP,dormir
Chacon-2017-102-80,small,1246,SMALL,pequeno
Chacon-2017-102-81,smoke,778,SMOKE (EXHAUST),nevoeiro
Chacon-2017-102-82,stand,1442,STAND,levantar-se
Chacon-2017-102-83,star,1430,STAR,estrela
Chacon-2017-102-84,stone,857,STONE,pedra
Chacon-2017-102-85,sun,1343,SUN,sol
Chacon-2017-102-86,swim,1439,SWIM,nadar
Chacon-2017-102-87,tail,1220,TAIL,rabo
Chacon-2017-102-88,that,78,THAT,esse
Chacon-2017-102-89,this,1214,THIS,este
Chacon-2017-102-90,"thou, you",1215,THOU,vocês
Chacon-2017-102-91,tongue,1205,TONGUE,língua
Chacon-2017-102-92,tooth,1380,TOOTH,dente
Chacon-2017-102-93,"tree, wood",906,TREE,árvore
Chacon-2017-102-94,two,1498,TWO,dois
Chacon-2017-102-95,walk,1443,WALK,andar
Chacon-2017-102-96,water,948,WATER,água
Chacon-2017-102-97,we,1212,WE,nós
Chacon-2017-102-98,what,1236,WHAT,nós
Chacon-2017-102-99,white,1335,WHITE,branco
Chacon-2017-102-100,who,1235,WHO,quem
Chacon-2017-102-101,woman,962,WOMAN,mulher
Chacon-2017-102-102,yellow,1424,YELLOW,amarelo
